campaign_id,channel_social_media,channel_tv,channel_radio,channel_print,channel_email,channel_community,age_group,income_bracket,education,geographic_region,vaccination_completed,health_screening,behavior_change,cost_per_contact,campaign_year,conversion
1,0,1,0,0,0,1,35-44,<25k,Bachelors,South,0,1,0,12.505154075537085,2024,0
2,1,0,0,0,0,0,35-44,>100k,Bachelors,Midwest,0,0,0,8.010321638101447,2024,0
3,1,0,0,1,0,0,65+,25-50k,Bachelors,West,0,1,1,2.7041437676111397,2024,0
4,1,1,0,0,0,0,65+,<25k,Bachelors,Midwest,0,0,0,6.64236856894289,2024,0
5,0,0,0,1,0,0,35-44,75-100k,Some College,Midwest,0,1,0,8.731616535137023,2024,0
6,0,0,0,1,0,0,55-64,>100k,Bachelors,West,0,0,0,7.2576930343282005,2024,0
7,0,0,1,1,0,0,55-64,50-75k,High School,West,0,0,0,8.20473772145965,2023,0
8,1,0,1,0,1,0,65+,75-100k,Bachelors,Northeast,0,0,1,13.066910130334216,2024,1
9,1,0,0,0,0,0,45-54,>100k,Graduate,Northeast,0,0,1,5.687933400487713,2024,0
10,1,0,0,0,0,0,18-24,<25k,Graduate,Northeast,0,0,1,6.903160035657355,2023,0
11,0,1,0,0,0,0,35-44,25-50k,Graduate,West,0,0,0,11.65009782645299,2023,0
12,1,0,1,0,0,0,45-54,<25k,High School,West,0,0,0,12.043391964424902,2024,0
13,1,1,0,0,0,1,55-64,50-75k,Bachelors,Midwest,1,0,0,4.564367408081775,2024,0
14,0,0,0,0,0,0,18-24,<25k,Some College,Midwest,0,0,0,4.179579101917925,2023,0
15,0,0,0,1,0,0,65+,<25k,Bachelors,Northeast,0,0,0,4.960476628605515,2023,0
16,0,1,0,0,0,1,25-34,50-75k,Some College,Midwest,0,0,0,11.755784938657031,2023,0
17,0,0,0,0,1,0,55-64,75-100k,Some College,Northeast,1,1,1,11.722527678328893,2023,0
18,0,1,0,0,1,0,35-44,25-50k,Some College,South,1,1,0,11.375636036836248,2024,1
19,0,0,0,0,0,0,55-64,75-100k,Bachelors,South,0,0,1,3.8479893912337184,2024,0
20,0,0,0,0,0,0,65+,25-50k,High School,South,0,0,0,3.358343583123368,2023,0
21,1,0,1,0,1,0,55-64,25-50k,Graduate,Midwest,0,1,0,6.716130880162602,2024,0
22,0,1,0,1,0,1,55-64,25-50k,Graduate,West,0,0,0,14.621936651828666,2024,1
23,0,0,0,0,1,0,18-24,25-50k,Bachelors,South,0,0,1,5.131934640187615,2024,0
24,0,1,1,0,0,0,65+,75-100k,High School,Midwest,0,0,0,14.19050012835655,2023,0
25,0,0,0,0,0,0,25-34,50-75k,Some College,Northeast,0,0,0,13.200996425940199,2024,0
26,1,1,0,0,0,0,18-24,25-50k,Bachelors,Midwest,0,1,1,4.606576801129915,2024,0
27,0,0,0,0,1,1,45-54,25-50k,High School,South,0,0,0,11.275803964171581,2023,0
28,0,0,1,1,0,1,65+,75-100k,Bachelors,West,0,1,0,5.9484073459113915,2024,0
29,1,0,0,1,0,0,45-54,25-50k,Graduate,Midwest,0,0,1,11.839663986002238,2024,0
30,0,0,0,1,0,1,45-54,50-75k,Some College,Northeast,0,0,0,8.520702912027382,2023,0
31,1,0,0,1,0,1,45-54,75-100k,Some College,West,0,0,0,7.980159218055677,2023,0
32,0,0,0,0,0,0,35-44,75-100k,Bachelors,West,0,0,0,9.546391961835859,2024,1
33,0,1,1,0,1,0,35-44,25-50k,High School,South,0,0,0,6.707030476511002,2024,0
34,1,1,1,0,0,1,55-64,<25k,Bachelors,South,0,0,1,3.461039207876077,2023,1
35,1,1,1,0,0,1,35-44,75-100k,Bachelors,Northeast,0,0,0,9.626942843390058,2023,0
36,1,0,0,0,1,0,45-54,>100k,High School,Midwest,0,0,1,5.152082177943091,2024,1
37,0,0,0,0,0,1,45-54,75-100k,High School,Midwest,0,0,0,13.181113633987781,2024,0
38,0,0,1,0,0,1,65+,25-50k,Some College,Midwest,0,0,0,4.127691970409366,2023,0
39,1,0,1,0,1,1,35-44,25-50k,Graduate,West,0,0,1,14.540669523276794,2023,0
40,0,0,0,0,0,0,25-34,<25k,High School,Northeast,0,0,0,4.689447093604747,2023,0
41,0,1,0,0,1,0,35-44,25-50k,High School,Northeast,0,1,0,10.458221995488916,2024,1
42,0,1,0,0,0,0,45-54,75-100k,High School,Midwest,0,0,0,12.921197098481105,2024,0
43,0,0,1,1,1,0,45-54,25-50k,Bachelors,West,0,0,0,6.359448681481291,2023,0
